Sõna,Sõnaliik,Muuttüüp,Algvorm
ajalehed-ajakirjad,S,0,ajalehed-ajakirjad
ajalehtede-ajakirjade,S,0,ajalehed-ajakirjad
ajalehtesid-ajakirjasid,S,0,ajalehed-ajakirjad
ajalehti-ajakirju,S,0,ajalehed-ajakirjad
ajalehtedesse-ajakirjadesse,S,0,ajalehed-ajakirjad
ajalehtedes-ajakirjades,S,0,ajalehed-ajakirjad
ajalehtedest-ajakirjadest,S,0,ajalehed-ajakirjad
ajalehtedele-ajakirjadele,S,0,ajalehed-ajakirjad
ajalehtedel-ajakirjadel,S,0,ajalehed-ajakirjad
ajalehtedelt-ajakirjadelt,S,0,ajalehed-ajakirjad
ajalehtedeks-ajakirjadeks,S,0,ajalehed-ajakirjad
ajalehtede-ajakirjadeni,S,0,ajalehed-ajakirjad
ajalehtede-ajakirjadena,S,0,ajalehed-ajakirjad
ajalehtede-ajakirjadeta,S,0,ajalehed-ajakirjad
ajalehtede-ajakirjadega,S,0,ajalehed-ajakirjad
eikeegi,P,0,eikeegi
eikellegi,P,0,eikeegi
eikedagi,P,0,eikeegi
eikellessegi,P,0,eikeegi
eikelleski,P,0,eikeegi
eikellestki,P,0,eikeegi
eikellelegi,P,0,eikeegi
eikellelgi,P,0,eikeegi
eikelleltki,P,0,eikeegi
eikellekski,P,0,eikeegi
eikellenigi,P,0,eikeegi
eikellenagi,P,0,eikeegi
eikelletagi,P,0,eikeegi
eikellegagi,P,0,eikeegi
eimiski,P,0,eimiski
eimillegi,P,0,eimiski
eimidagi,P,0,eimiski
eimillessegi,P,0,eimiski
eimilleski,P,0,eimiski
eimillestki,P,0,eimiski
eimillelegi,P,0,eimiski
eimillelgi,P,0,eimiski
eimilleltki,P,0,eimiski
eimillekski,P,0,eimiski
eimillenigi,P,0,eimiski
eimillenagi,P,0,eimiski
eimilletagi,P,0,eimiski
eimillegagi,P,0,eimiski
elamine-olemine,S,0,elamine-olemine
elamise-olemise,S,0,elamine-olemine
elamist-olemist,S,0,elamine-olemine
elamisesse-olemisesse,S,0,elamine-olemine
elamises-olemises,S,0,elamine-olemine
elamisest-olemisest,S,0,elamine-olemine
elamisele-olemisele,S,0,elamine-olemine
elamisel-olemisel,S,0,elamine-olemine
elamiselt-olemiselt,S,0,elamine-olemine
elamiseks-olemiseks,S,0,elamine-olemine
elamise-olemiseni,S,0,elamine-olemine
elamise-olemisena,S,0,elamine-olemine
elamise-olemiseta,S,0,elamine-olemine
elamise-olemisega,S,0,elamine-olemine
elamisse-olemisse,S,0,elamine-olemine
elamised-olemised,S,0,elamine-olemine
elamiste-olemiste,S,0,elamine-olemine
elamisi-olemisi,S,0,elamine-olemine
elamistesse-olemistesse,S,0,elamine-olemine
elamistes-olemistes,S,0,elamine-olemine
elamistest-olemistest,S,0,elamine-olemine
elamistele-olemistele,S,0,elamine-olemine
elamistel-olemistel,S,0,elamine-olemine
elamistelt-olemistelt,S,0,elamine-olemine
elamisteks-olemisteks,S,0,elamine-olemine
elamiste-olemisteni,S,0,elamine-olemine
elamiste-olemistena,S,0,elamine-olemine
elamiste-olemisteta,S,0,elamine-olemine
elamiste-olemistega,S,0,elamine-olemine
ematu-isatu,S,0,ematu-isatu
ematu-isatu,S,0,ematu-isatu
ematut-isatut,S,0,ematu-isatu
ematusse-isatusse,S,0,ematu-isatu
ematus-isatus,S,0,ematu-isatu
ematust-isatust,S,0,ematu-isatu
ematule-isatule,S,0,ematu-isatu
ematul-isatul,S,0,ematu-isatu
ematult-isatult,S,0,ematu-isatu
ematuks-isatuks,S,0,ematu-isatu
ematu-isatuni,S,0,ematu-isatu
ematu-isatuna,S,0,ematu-isatu
ematu-isatuta,S,0,ematu-isatu
ematu-isatuga,S,0,ematu-isatu
ematud-isatud,S,0,ematu-isatu
ematute-isatute,S,0,ematu-isatu
ematuid-isatuid,S,0,ematu-isatu
ematutesse-isatutesse,S,0,ematu-isatu
ematutes-isatutes,S,0,ematu-isatu
ematutest-isatutest,S,0,ematu-isatu
ematutele-isatutele,S,0,ematu-isatu
ematutel-isatutel,S,0,ematu-isatu
ematutelt-isatutelt,S,0,ematu-isatu
ematuteks-isatuteks,S,0,ematu-isatu
ematute-isatuteni,S,0,ematu-isatu
ematute-isatutena,S,0,ematu-isatu
ematute-isatuteta,S,0,ematu-isatu
ematute-isatutega,S,0,ematu-isatu
emb-kumb,P,0,emb-kumb
emma-kumma,P,0,emb-kumb
emba-kumba,P,0,emb-kumb
emmasse-kummasse,P,0,emb-kumb
emmas-kummas,P,0,emb-kumb
emmast-kummast,P,0,emb-kumb
emmale-kummale,P,0,emb-kumb
emmal-kummal,P,0,emb-kumb
emmalt-kummalt,P,0,emb-kumb
emmaks-kummaks,P,0,emb-kumb
emma-kummani,P,0,emb-kumb
emma-kummana,P,0,emb-kumb
emma-kummata,P,0,emb-kumb
emma-kummaga,P,0,emb-kumb
emba-kumba,P,0,emb-kumb
ise,P,0,ise
enese,P,0,ise
enda,P,0,ise
ennast,P,0,ise
end,P,0,ise
enesesse,P,0,ise
endasse,P,0,ise
eneses,P,0,ise
endas,P,0,ise
enesest,P,0,ise
endast,P,0,ise
enesele,P,0,ise
endale,P,0,ise
enesel,P,0,ise
endal,P,0,ise
eneselt,P,0,ise
endalt,P,0,ise
eneseks,P,0,ise
endaks,P,0,ise
eneseni,P,0,ise
endani,P,0,ise
enesena,P,0,ise
endana,P,0,ise
eneseta,P,0,ise
endata,P,0,ise
enesega,P,0,ise
endaga,P,0,ise
ise,P,0,ise
eneste,P,0,ise
endi,P,0,ise
endid,P,0,ise
enestesse,P,0,ise
endisse,P,0,ise
enestes,P,0,ise
endis,P,0,ise
enestest,P,0,ise
endist,P,0,ise
enestele,P,0,ise
endile,P,0,ise
enestel,P,0,ise
endil,P,0,ise
enestelt,P,0,ise
endilt,P,0,ise
enesteks,P,0,ise
endiks,P,0,ise
enesteni,P,0,ise
endini,P,0,ise
enestena,P,0,ise
endina,P,0,ise
enesteta,P,0,ise
endita,P,0,ise
enestega,P,0,ise
endiga,P,0,ise
iseenese,P,0,iseenese
iseenda,P,0,iseenese
iseennast,P,0,iseenese
iseend,P,0,iseenese
iseenesesse,P,0,iseenese
iseendasse,P,0,iseenese
iseeneses,P,0,iseenese
iseendas,P,0,iseenese
iseenesest,P,0,iseenese
iseendast,P,0,iseenese
iseenesele,P,0,iseenese
iseendale,P,0,iseenese
iseenesel,P,0,iseenese
iseendal,P,0,iseenese
iseeneselt,P,0,iseenese
iseendalt,P,0,iseenese
iseeneseks,P,0,iseenese
iseendaks,P,0,iseenese
iseeneseni,P,0,iseenese
iseendani,P,0,iseenese
iseenesena,P,0,iseenese
iseendana,P,0,iseenese
iseeneseta,P,0,iseenese
iseendata,P,0,iseenese
iseenesega,P,0,iseenese
iseendaga,P,0,iseenese
iseeneste,P,0,iseenese
iseendi,P,0,iseenese
iseendid,P,0,iseenese
iseenestesse,P,0,iseenese
iseendisse,P,0,iseenese
iseenestes,P,0,iseenese
iseendis,P,0,iseenese
iseenestest,P,0,iseenese
iseendist,P,0,iseenese
iseenestele,P,0,iseenese
iseendile,P,0,iseenese
iseenestel,P,0,iseenese
iseendil,P,0,iseenese
iseenestelt,P,0,iseenese
iseendilt,P,0,iseenese
iseenesteks,P,0,iseenese
iseendiks,P,0,iseenese
iseenesteni,P,0,iseenese
iseendini,P,0,iseenese
iseenestena,P,0,iseenese
iseendina,P,0,iseenese
iseenesteta,P,0,iseenese
iseendita,P,0,iseenese
iseenestega,P,0,iseenese
iseendiga,P,0,iseenese
istumine-astumine,S,0,istumine-astumine
istumise-astumise,S,0,istumine-astumine
istumist-astumist,S,0,istumine-astumine
istumisesse-astumisesse,S,0,istumine-astumine
istumises-astumises,S,0,istumine-astumine
istumisest-astumisest,S,0,istumine-astumine
istumisele-astumisele,S,0,istumine-astumine
istumisel-astumisel,S,0,istumine-astumine
istumiselt-astumiselt,S,0,istumine-astumine
istumiseks-astumiseks,S,0,istumine-astumine
istumise-astumiseni,S,0,istumine-astumine
istumise-astumisena,S,0,istumine-astumine
istumise-astumiseta,S,0,istumine-astumine
istumise-astumisega,S,0,istumine-astumine
istumisse-astumisse,S,0,istumine-astumine
istumised-astumised,S,0,istumine-astumine
istumiste-astumiste,S,0,istumine-astumine
istumisi-astumisi,S,0,istumine-astumine
istumistesse-astumistesse,S,0,istumine-astumine
istumistes-astumistes,S,0,istumine-astumine
istumistest-astumistest,S,0,istumine-astumine
istumistele-astumistele,S,0,istumine-astumine
istumistel-astumistel,S,0,istumine-astumine
istumistelt-astumistelt,S,0,istumine-astumine
istumisteks-astumisteks,S,0,istumine-astumine
istumiste-astumisteni,S,0,istumine-astumine
istumiste-astumistena,S,0,istumine-astumine
istumiste-astumisteta,S,0,istumine-astumine
istumiste-astumistega,S,0,istumine-astumine
keegi,P,0,keegi
kellegi,P,0,keegi
kedagi,P,0,keegi
kellessegi,P,0,keegi
kelleski,P,0,keegi
kellestki,P,0,keegi
kellelegi,P,0,keegi
kellelgi,P,0,keegi
kelleltki,P,0,keegi
kellekski,P,0,keegi
kellenigi,P,0,keegi
kellenagi,P,0,keegi
kelletagi,P,0,keegi
kellegagi,P,0,keegi
kes,P,0,kes
kelle,P,0,kes
keda,P,0,kes
kellesse,P,0,kes
kelles,P,0,kes
kellest,P,0,kes
kellele,P,0,kes
kellel,P,0,kes
kel,P,0,kes
kellelt,P,0,kes
kelt,P,0,kes
kelleks,P,0,kes
kelleni,P,0,kes
kellena,P,0,kes
kelleta,P,0,kes
kellega,P,0,kes
kes,P,0,kes
kellede,P,0,kes
kelle,P,0,kes
keda,P,0,kes
kelledesse,P,0,kes
kellesse,P,0,kes
kelledes,P,0,kes
kelles,P,0,kes
kelledest,P,0,kes
kellest,P,0,kes
kelledele,P,0,kes
kellele,P,0,kes
kelledel,P,0,kes
kellel,P,0,kes
kelledelt,P,0,kes
kellelt,P,0,kes
kelledeks,P,0,kes
kelleks,P,0,kes
kelledeni,P,0,kes
kelleni,P,0,kes
kelledena,P,0,kes
kellena,P,0,kes
kelledeta,P,0,kes
kelleta,P,0,kes
kelledega,P,0,kes
kellega,P,0,kes
kibin-kabin,S,0,kibin-kabin
kibina-kabina,S,0,kibin-kabin
kibinat-kabinat,S,0,kibin-kabin
kibinasse-kabinasse,S,0,kibin-kabin
kibinas-kabinas,S,0,kibin-kabin
kibinast-kabinast,S,0,kibin-kabin
kibinale-kabinale,S,0,kibin-kabin
kibinal-kabinal,S,0,kibin-kabin
kibinalt-kabinalt,S,0,kibin-kabin
kibinaks-kabinaks,S,0,kibin-kabin
kibina-kabinani,S,0,kibin-kabin
kibina-kabinana,S,0,kibin-kabin
kibina-kabinata,S,0,kibin-kabin
kibina-kabinaga,S,0,kibin-kabin
kibinad-kabinad,S,0,kibin-kabin
kibinate-kabinate,S,0,kibin-kabin
kibinaid-kabinaid,S,0,kibin-kabin
kibinatesse-kabinatesse,S,0,kibin-kabin
kibinates-kabinates,S,0,kibin-kabin
kibinatest-kabinatest,S,0,kibin-kabin
kibinatele-kabinatele,S,0,kibin-kabin
kibinatel-kabinatel,S,0,kibin-kabin
kibinatest-kabinatelt,S,0,kibin-kabin
kibinateks-kabinateks,S,0,kibin-kabin
kibinate-kabinateni,S,0,kibin-kabin
kibinate-kabinatena,S,0,kibin-kabin
kibinate-kabinateta,S,0,kibin-kabin
kibinate-kabinatega,S,0,kibin-kabin
kigin-kägin,S,0,kigin-kägin
kigina-kägina,S,0,kigin-kägin
kiginat-käginat,S,0,kigin-kägin
kiginasse-käginasse,S,0,kigin-kägin
kiginas-käginas,S,0,kigin-kägin
kiginast-käginast,S,0,kigin-kägin
kiginale-käginale,S,0,kigin-kägin
kiginal-käginal,S,0,kigin-kägin
kiginalt-käginalt,S,0,kigin-kägin
kiginaks-käginaks,S,0,kigin-kägin
kigina-käginani,S,0,kigin-kägin
kigina-käginana,S,0,kigin-kägin
kigina-käginata,S,0,kigin-kägin
kigina-käginaga,S,0,kigin-kägin
kiginad-käginad,S,0,kigin-kägin
kiginate-käginate,S,0,kigin-kägin
kiginaid-käginaid,S,0,kigin-kägin
kiginatesse-käginatesse,S,0,kigin-kägin
kiginates-käginates,S,0,kigin-kägin
kiginatest-käginatest,S,0,kigin-kägin
kiginatele-käginatele,S,0,kigin-kägin
kiginatel-käginatel,S,0,kigin-kägin
kiginatest-käginatelt,S,0,kigin-kägin
kiginateks-käginateks,S,0,kigin-kägin
kiginate-käginateni,S,0,kigin-kägin
kiginate-käginatena,S,0,kigin-kägin
kiginate-käginateta,S,0,kigin-kägin
kiginate-käginatega,S,0,kigin-kägin
kihin-kahin,S,0,kihin-kahin
kihina-kahina,S,0,kihin-kahin
kihinat-kahinat,S,0,kihin-kahin
kihinasse-kahinasse,S,0,kihin-kahin
kihinas-kahinas,S,0,kihin-kahin
kihinast-kahinast,S,0,kihin-kahin
kihinale-kahinale,S,0,kihin-kahin
kihinal-kahinal,S,0,kihin-kahin
kihinalt-kahinalt,S,0,kihin-kahin
kihinaks-kahinaks,S,0,kihin-kahin
kihina-kahinani,S,0,kihin-kahin
kihina-kahinana,S,0,kihin-kahin
kihina-kahinata,S,0,kihin-kahin
kihina-kahinaga,S,0,kihin-kahin
kihinad-kahinad,S,0,kihin-kahin
kihinate-kahinate,S,0,kihin-kahin
kihinaid-kahinaid,S,0,kihin-kahin
kihinatesse-kahinatesse,S,0,kihin-kahin
kihinates-kahinates,S,0,kihin-kahin
kihinatest-kahinatest,S,0,kihin-kahin
kihinatele-kahinatele,S,0,kihin-kahin
kihinatel-kahinatel,S,0,kihin-kahin
kihinatest-kahinatelt,S,0,kihin-kahin
kihinateks-kahinateks,S,0,kihin-kahin
kihinate-kahinateni,S,0,kihin-kahin
kihinate-kahinatena,S,0,kihin-kahin
kihinate-kahinateta,S,0,kihin-kahin
kihinate-kahinatega,S,0,kihin-kahin
kilin-kolin,S,0,kilin-kolin
kilina-kolina,S,0,kilin-kolin
kilinat-kolinat,S,0,kilin-kolin
kilinasse-kolinasse,S,0,kilin-kolin
kilinas-kolinas,S,0,kilin-kolin
kilinast-kolinast,S,0,kilin-kolin
kilinale-kolinale,S,0,kilin-kolin
kilinal-kolinal,S,0,kilin-kolin
kilinalt-kolinalt,S,0,kilin-kolin
kilinaks-kolinaks,S,0,kilin-kolin
kilina-kolinani,S,0,kilin-kolin
kilina-kolinana,S,0,kilin-kolin
kilina-kolinata,S,0,kilin-kolin
kilina-kolinaga,S,0,kilin-kolin
kilinad-kolinad,S,0,kilin-kolin
kilinate-kolinate,S,0,kilin-kolin
kilinaid-kolinaid,S,0,kilin-kolin
kilinatesse-kolinatesse,S,0,kilin-kolin
kilinates-kolinates,S,0,kilin-kolin
kilinatest-kolinatest,S,0,kilin-kolin
kilinatele-kolinatele,S,0,kilin-kolin
kilinatel-kolinatel,S,0,kilin-kolin
kilinatest-kolinatelt,S,0,kilin-kolin
kilinateks-kolinateks,S,0,kilin-kolin
kilinate-kolinateni,S,0,kilin-kolin
kilinate-kolinatena,S,0,kilin-kolin
kilinate-kolinateta,S,0,kilin-kolin
kilinate-kolinatega,S,0,kilin-kolin
kilin-kõlin,S,0,kilin-kõlin
kilina-kõlina,S,0,kilin-kõlin
kilinat-kõlinat,S,0,kilin-kõlin
kilinasse-kõlinasse,S,0,kilin-kõlin
kilinas-kõlinas,S,0,kilin-kõlin
kilinast-kõlinast,S,0,kilin-kõlin
kilinale-kõlinale,S,0,kilin-kõlin
kilinal-kõlinal,S,0,kilin-kõlin
kilinalt-kõlinalt,S,0,kilin-kõlin
kilinaks-kõlinaks,S,0,kilin-kõlin
kilina-kõlinani,S,0,kilin-kõlin
kilina-kõlinana,S,0,kilin-kõlin
kilina-kõlinata,S,0,kilin-kõlin
kilina-kõlinaga,S,0,kilin-kõlin
kilinad-kõlinad,S,0,kilin-kõlin
kilinate-kõlinate,S,0,kilin-kõlin
kilinaid-kõlinaid,S,0,kilin-kõlin
kilinatesse-kõlinatesse,S,0,kilin-kõlin
kilinates-kõlinates,S,0,kilin-kõlin
kilinatest-kõlinatest,S,0,kilin-kõlin
kilinatele-kõlinatele,S,0,kilin-kõlin
kilinatel-kõlinatel,S,0,kilin-kõlin
kilinatest-kõlinatelt,S,0,kilin-kõlin
kilinateks-kõlinateks,S,0,kilin-kõlin
kilinate-kõlinateni,S,0,kilin-kõlin
kilinate-kõlinatena,S,0,kilin-kõlin
kilinate-kõlinateta,S,0,kilin-kõlin
kilinate-kõlinatega,S,0,kilin-kõlin
kimpsud-kompsud,S,0,kimpsud-kompsud
kimpsude-kompsude,S,0,kimpsud-kompsud
kimpsusid-kompsusid,S,0,kimpsud-kompsud
kimpse-kompse,S,0,kimpsud-kompsud
kimpsudesse-kompsudesse,S,0,kimpsud-kompsud
kimpsudes-kompsudes,S,0,kimpsud-kompsud
kimpsudest-kompsudest,S,0,kimpsud-kompsud
kimpsudele-kompsudele,S,0,kimpsud-kompsud
kimpsudel-kompsudel,S,0,kimpsud-kompsud
kimpsudelt-kompsudelt,S,0,kimpsud-kompsud
kimpsudeks-kompsudeks,S,0,kimpsud-kompsud
kimpsude-kompsudeni,S,0,kimpsud-kompsud
kimpsude-kompsudena,S,0,kimpsud-kompsud
kimpsude-kompsudeta,S,0,kimpsud-kompsud
kimpsude-kompsudega,S,0,kimpsud-kompsud
kirin-kärin,S,0,kirin-kärin
kirina-kärina,S,0,kirin-kärin
kirinat-kärinat,S,0,kirin-kärin
kirinasse-kärinasse,S,0,kirin-kärin
kirinas-kärinas,S,0,kirin-kärin
kirinast-kärinast,S,0,kirin-kärin
kirinale-kärinale,S,0,kirin-kärin
kirinal-kärinal,S,0,kirin-kärin
kirinalt-kärinalt,S,0,kirin-kärin
kirinaks-kärinaks,S,0,kirin-kärin
kirina-kärinani,S,0,kirin-kärin
kirina-kärinana,S,0,kirin-kärin
kirina-kärinata,S,0,kirin-kärin
kirina-kärinaga,S,0,kirin-kärin
kirinad-kärinad,S,0,kirin-kärin
kirinate-kärinate,S,0,kirin-kärin
kirinaid-kärinaid,S,0,kirin-kärin
kirinatesse-kärinatesse,S,0,kirin-kärin
kirinates-kärinates,S,0,kirin-kärin
kirinatest-kärinatest,S,0,kirin-kärin
kirinatele-kärinatele,S,0,kirin-kärin
kirinatel-kärinatel,S,0,kirin-kärin
kirinatest-kärinatelt,S,0,kirin-kärin
kirinateks-kärinateks,S,0,kirin-kärin
kirinate-kärinateni,S,0,kirin-kärin
kirinate-kärinatena,S,0,kirin-kärin
kirinate-kärinateta,S,0,kirin-kärin
kirinate-kärinatega,S,0,kirin-kärin
klibin-klobin,S,0,klibin-klobin
klibina-klobina,S,0,klibin-klobin
klibinat-klobinat,S,0,klibin-klobin
klibinasse-klobinasse,S,0,klibin-klobin
klibinas-klobinas,S,0,klibin-klobin
klibinast-klobinast,S,0,klibin-klobin
klibinale-klobinale,S,0,klibin-klobin
klibinal-klobinal,S,0,klibin-klobin
klibinalt-klobinalt,S,0,klibin-klobin
klibinaks-klobinaks,S,0,klibin-klobin
klibina-klobinani,S,0,klibin-klobin
klibina-klobinana,S,0,klibin-klobin
klibina-klobinata,S,0,klibin-klobin
klibina-klobinaga,S,0,klibin-klobin
klibinad-klobinad,S,0,klibin-klobin
klibinate-klobinate,S,0,klibin-klobin
klibinaid-klobinaid,S,0,klibin-klobin
klibinatesse-klobinatesse,S,0,klibin-klobin
klibinates-klobinates,S,0,klibin-klobin
klibinatest-klobinatest,S,0,klibin-klobin
klibinatele-klobinatele,S,0,klibin-klobin
klibinatel-klobinatel,S,0,klibin-klobin
klibinatest-klobinatelt,S,0,klibin-klobin
klibinateks-klobinateks,S,0,klibin-klobin
klibinate-klobinateni,S,0,klibin-klobin
klibinate-klobinatena,S,0,klibin-klobin
klibinate-klobinateta,S,0,klibin-klobin
klibinate-klobinatega,S,0,klibin-klobin
kopsud-maksad,S,0,kopsud-maksad
kopsude-maksade,S,0,kopsud-maksad
kopsusid-maksasid,S,0,kopsud-maksad
kopse-maksu,S,0,kopsud-maksad
kopsudesse-maksadesse,S,0,kopsud-maksad
kopsudes-maksades,S,0,kopsud-maksad
kopsudest-maksadest,S,0,kopsud-maksad
kopsudele-maksadele,S,0,kopsud-maksad
kopsudel-maksadel,S,0,kopsud-maksad
kopsudelt-maksadelt,S,0,kopsud-maksad
kopsudeks-maksadeks,S,0,kopsud-maksad
kopsude-maksadeni,S,0,kopsud-maksad
kopsude-maksadena,S,0,kopsud-maksad
kopsude-maksadeta,S,0,kopsud-maksad
kopsude-maksadega,S,0,kopsud-maksad
kumbki,P,0,kumbki
kummagi,P,0,kumbki
kumbagi,P,0,kumbki
kummassegi,P,0,kumbki
kummaski,P,0,kumbki
kummastki,P,0,kumbki
kummalegi,P,0,kumbki
kummalgi,P,0,kumbki
kummaltki,P,0,kumbki
kummakski,P,0,kumbki
kummanigi,P,0,kumbki
kummanagi,P,0,kumbki
kummatagi,P,0,kumbki
kummagagi,P,0,kumbki
kumbagi,P,0,kumbki
kõik,P,0,kõik
kõige,P,0,kõik
kõike,P,0,kõik
kõigesse,P,0,kõik
kõiges,P,0,kõik
kõigest,P,0,kõik
kõigele,P,0,kõik
kõigel,P,0,kõik
kõigelt,P,0,kõik
kõigeks,P,0,kõik
kõigeni,P,0,kõik
kõigena,P,0,kõik
kõigeta,P,0,kõik
kõigega,P,0,kõik
kõike,P,0,kõik
kõik,P,0,kõik
kõikide,P,0,kõik
kõigi,P,0,kõik
kõikisid,P,0,kõik
kõiki,P,0,kõik
kõikidesse,P,0,kõik
kõigisse,P,0,kõik
kõikides,P,0,kõik
kõigis,P,0,kõik
kõikidest,P,0,kõik
kõigist,P,0,kõik
kõikidele,P,0,kõik
kõigile,P,0,kõik
kõikidel,P,0,kõik
kõigil,P,0,kõik
kõikidelt,P,0,kõik
kõigilt,P,0,kõik
kõikideks,P,0,kõik
kõigiks,P,0,kõik
kõikideni,P,0,kõik
kõigini,P,0,kõik
kõikidena,P,0,kõik
kõigina,P,0,kõik
kõikideta,P,0,kõik
kõigita,P,0,kõik
kõikidega,P,0,kõik
kõigiga,P,0,kõik
lapselapselaps,S,0,lapselapselaps
lapselapselapse,S,0,lapselapselaps
lapselapselast,S,0,lapselapselaps
lapselapselapsesse,S,0,lapselapselaps
lapselapselapses,S,0,lapselapselaps
lapselapselapsest,S,0,lapselapselaps
lapselapselapsele,S,0,lapselapselaps
lapselapselapsel,S,0,lapselapselaps
lapselapselapselt,S,0,lapselapselaps
lapselapselapseks,S,0,lapselapselaps
lapselapselapseni,S,0,lapselapselaps
lapselapselapsena,S,0,lapselapselaps
lapselapselapseta,S,0,lapselapselaps
lapselapselapsega,S,0,lapselapselaps
lapselapselapsed,S,0,lapselapselaps
lastelastelaste,S,0,lapselapselaps
lapselapselapsi,S,0,lapselapselaps
lastelastelastesse,S,0,lapselapselaps
lastelastelastes,S,0,lapselapselaps
lastelastelastest,S,0,lapselapselaps
lastelastelastele,S,0,lapselapselaps
lastelastelastel,S,0,lapselapselaps
lastelastelastelt,S,0,lapselapselaps
lastelastelasteks,S,0,lapselapselaps
lastelastelasteni,S,0,lapselapselaps
lastelastelastena,S,0,lapselapselaps
lastelastelasteta,S,0,lapselapselaps
lastelastelastega,S,0,lapselapselaps
lapselaps,S,0,lapselaps
lapselapse,S,0,lapselaps
lapselast,S,0,lapselaps
lapselapsesse,S,0,lapselaps
lapselapses,S,0,lapselaps
lapselapsest,S,0,lapselaps
lapselapsele,S,0,lapselaps
lapselapsel,S,0,lapselaps
lapselapselt,S,0,lapselaps
lapselapseks,S,0,lapselaps
lapselapseni,S,0,lapselaps
lapselapsena,S,0,lapselaps
lapselapseta,S,0,lapselaps
lapselapsega,S,0,lapselaps
lapselapsed,S,0,lapselaps
lastelaste,S,0,lapselaps
lapselapsi,S,0,lapselaps
lastelastesse,S,0,lapselaps
lastelastes,S,0,lapselaps
lastelastest,S,0,lapselaps
lastelastele,S,0,lapselaps
lastelastel,S,0,lapselaps
lastelastelt,S,0,lapselaps
lastelasteks,S,0,lapselaps
lastelasteni,S,0,lapselaps
lastelastena,S,0,lapselaps
lastelasteta,S,0,lapselaps
lastelastega,S,0,lapselaps
luud-kondid,S,0,luud-kondid
luude-kontide,S,0,luud-kondid
luid-konte,S,0,luud-kondid
luudesse-kontidesse,S,0,luud-kondid
luudes-kontides,S,0,luud-kondid
luudest-kontidest,S,0,luud-kondid
luudele-kontidele,S,0,luud-kondid
luudel-kontidel,S,0,luud-kondid
luudelt-kontidelt,S,0,luud-kondid
luudeks-kontideks,S,0,luud-kondid
luude-kontideni,S,0,luud-kondid
luude-kontidena,S,0,luud-kondid
luude-kontideta,S,0,luud-kondid
luude-kontidega,S,0,luud-kondid
luud-liikmed,S,0,luud-liikmed
luude-liikmete,S,0,luud-liikmed
luid-liikmeid,S,0,luud-liikmed
luudesse-liikmetesse,S,0,luud-liikmed
luisse-liikmeisse,S,0,luud-liikmed
luudes-liikmetes,S,0,luud-liikmed
luis-liikmeis,S,0,luud-liikmed
luudest-liikmetest,S,0,luud-liikmed
luist-liikmeist,S,0,luud-liikmed
luudele-liikmetele,S,0,luud-liikmed
luile-liikmeile,S,0,luud-liikmed
luudel-liikmetel,S,0,luud-liikmed
luil-liikmeil,S,0,luud-liikmed
luudelt-liikmetelt,S,0,luud-liikmed
luilt-liikmeilt,S,0,luud-liikmed
luudeks-liikmeteks,S,0,luud-liikmed
luiks-liikmeiks,S,0,luud-liikmed
luude-liikmeteni,S,0,luud-liikmed
luude-liikmetena,S,0,luud-liikmed
luude-liikmeteta,S,0,luud-liikmed
luude-liikmetega,S,0,luud-liikmed
mina,P,0,mina
ma,P,0,mina
minu,P,0,mina
mu,P,0,mina
mind,P,0,mina
minusse,P,0,mina
musse,P,0,mina
minus,P,0,mina
mus,P,0,mina
minust,P,0,mina
must,P,0,mina
minule,P,0,mina
mulle,P,0,mina
minul,P,0,mina
mul,P,0,mina
minult,P,0,mina
mult,P,0,mina
minuks,P,0,mina
minuni,P,0,mina
minuna,P,0,mina
minuta,P,0,mina
minuga,P,0,mina
muga,P,0,mina
meie,P,0,mina
me,P,0,mina
meie,P,0,mina
me,P,0,mina
meid,P,0,mina
meisse,P,0,mina
meis,P,0,mina
meist,P,0,mina
meile,P,0,mina
meil,P,0,mina
meilt,P,0,mina
meiks,P,0,mina
meieks,P,0,mina
meieni,P,0,mina
