Sõna,Sõnaliik,Muuttüüp,Algvorm
meiena,P,0,mina
meieta,P,0,mina
meiega,P,0,mina
mina,P,0,mina
meite,P,0,mina
meitesid,P,0,mina
meitesse,P,0,mina
meites,P,0,mina
meitest,P,0,mina
meitele,P,0,mina
meitel,P,0,mina
meitelt,P,0,mina
meiteks,P,0,mina
meiteni,P,0,mina
meitena,P,0,mina
meiteta,P,0,mina
meitega,P,0,mina
miski,P,0,miski
millegi,P,0,miski
midagi,P,0,miski
millessegi,P,0,miski
milleski,P,0,miski
millestki,P,0,miski
millelegi,P,0,miski
millelgi,P,0,miski
milleltki,P,0,miski
millekski,P,0,miski
millenigi,P,0,miski
millenagi,P,0,miski
milletagi,P,0,miski
millegagi,P,0,miski
mis,P,0,mis
mille,P,0,mis
mida,P,0,mis
millesse,P,0,mis
milles,P,0,mis
millest,P,0,mis
millele,P,0,mis
millel,P,0,mis
mil,P,0,mis
millelt,P,0,mis
milt,P,0,mis
milleks,P,0,mis
milleni,P,0,mis
millena,P,0,mis
milleta,P,0,mis
millega,P,0,mis
mis,P,0,mis
millede,P,0,mis
mille,P,0,mis
mida,P,0,mis
milledesse,P,0,mis
millesse,P,0,mis
milledes,P,0,mis
milles,P,0,mis
milledest,P,0,mis
millest,P,0,mis
milledele,P,0,mis
millele,P,0,mis
milledel,P,0,mis
millel,P,0,mis
milledelt,P,0,mis
millelt,P,0,mis
milledeks,P,0,mis
milleks,P,0,mis
milledeni,P,0,mis
milleni,P,0,mis
milledena,P,0,mis
millena,P,0,mis
milledeta,P,0,mis
milleta,P,0,mis
milledega,P,0,mis
millega,P,0,mis
mitu-setu,P,0,mitu-setu
mitme-setme,P,0,mitu-setu
mitut-setut,P,0,mitu-setu
mitmesse-setmesse,P,0,mitu-setu
mitmes-setmes,P,0,mitu-setu
mitmest-setmest,P,0,mitu-setu
mitmele-setmele,P,0,mitu-setu
mitmel-setmel,P,0,mitu-setu
mitmelt-setmelt,P,0,mitu-setu
mitmeks-setmeks,P,0,mitu-setu
mitme-setmeni,P,0,mitu-setu
mitme-setmena,P,0,mitu-setu
mitme-setmeta,P,0,mitu-setu
mitme-setmega,P,0,mitu-setu
mitmed-setmed,P,0,mitu-setu
mitmete-setmete,P,0,mitu-setu
mitmeid-setmeid,P,0,mitu-setu
mitmetesse-setmetesse,P,0,mitu-setu
mitmeisse-setmeisse,P,0,mitu-setu
mitmetes-setmetes,P,0,mitu-setu
mitmeis-setmeis,P,0,mitu-setu
mitmetest-setmetest,P,0,mitu-setu
mitmeist-setmeist,P,0,mitu-setu
mitmetele-setmetele,P,0,mitu-setu
mitmeile-setmeile,P,0,mitu-setu
mitmetel-setmetel,P,0,mitu-setu
mitmeil-setmeil,P,0,mitu-setu
mitmetelt-setmetelt,P,0,mitu-setu
mitmeilt-setmeilt,P,0,mitu-setu
mitmeteks-setmeteks,P,0,mitu-setu
mitmeiks-setmeiks,P,0,mitu-setu
mitmete-setmeteni,P,0,mitu-setu
mitmete-setmetena,P,0,mitu-setu
mitmete-setmeteta,P,0,mitu-setu
mitmete-setmetega,P,0,mitu-setu
omaenese,P,0,omaenese
omaenda,P,0,omaenese
omaeneste,P,0,omaenese
omaendi,P,0,omaenese
prigin-pragin,S,0,prigin-pragin
prigina-pragina,S,0,prigin-pragin
priginat-praginat,S,0,prigin-pragin
priginasse-praginasse,S,0,prigin-pragin
priginas-praginas,S,0,prigin-pragin
priginast-praginast,S,0,prigin-pragin
priginale-praginale,S,0,prigin-pragin
priginal-praginal,S,0,prigin-pragin
priginalt-praginalt,S,0,prigin-pragin
priginaks-praginaks,S,0,prigin-pragin
prigina-praginani,S,0,prigin-pragin
prigina-praginana,S,0,prigin-pragin
prigina-praginata,S,0,prigin-pragin
prigina-praginaga,S,0,prigin-pragin
priginad-praginad,S,0,prigin-pragin
priginate-praginate,S,0,prigin-pragin
priginaid-praginaid,S,0,prigin-pragin
priginatesse-praginatesse,S,0,prigin-pragin
priginates-praginates,S,0,prigin-pragin
priginatest-praginatest,S,0,prigin-pragin
priginatele-praginatele,S,0,prigin-pragin
priginatel-praginatel,S,0,prigin-pragin
priginatest-praginatelt,S,0,prigin-pragin
priginateks-praginateks,S,0,prigin-pragin
priginate-praginateni,S,0,prigin-pragin
priginate-praginatena,S,0,prigin-pragin
priginate-praginateta,S,0,prigin-pragin
priginate-praginatega,S,0,prigin-pragin
rigin-ragin,S,0,rigin-ragin
rigina-ragina,S,0,rigin-ragin
riginat-raginat,S,0,rigin-ragin
riginasse-raginasse,S,0,rigin-ragin
riginas-raginas,S,0,rigin-ragin
riginast-raginast,S,0,rigin-ragin
riginale-raginale,S,0,rigin-ragin
riginal-raginal,S,0,rigin-ragin
riginalt-raginalt,S,0,rigin-ragin
riginaks-raginaks,S,0,rigin-ragin
rigina-raginani,S,0,rigin-ragin
rigina-raginana,S,0,rigin-ragin
rigina-raginata,S,0,rigin-ragin
rigina-raginaga,S,0,rigin-ragin
riginad-raginad,S,0,rigin-ragin
riginate-raginate,S,0,rigin-ragin
riginaid-raginaid,S,0,rigin-ragin
riginatesse-raginatesse,S,0,rigin-ragin
riginates-raginates,S,0,rigin-ragin
riginatest-raginatest,S,0,rigin-ragin
riginatele-raginatele,S,0,rigin-ragin
riginatel-raginatel,S,0,rigin-ragin
riginatest-raginatelt,S,0,rigin-ragin
riginateks-raginateks,S,0,rigin-ragin
riginate-raginateni,S,0,rigin-ragin
riginate-raginatena,S,0,rigin-ragin
riginate-raginateta,S,0,rigin-ragin
riginate-raginatega,S,0,rigin-ragin
seesamane,P,0,seesamane
sellesamase,P,0,seesamane
sedasamast,P,0,seesamane
sellessesamasesse,P,0,seesamane
sessesamasesse,P,0,seesamane
sellessamases,P,0,seesamane
sessamases,P,0,seesamane
sellestsamasest,P,0,seesamane
sestsamasest,P,0,seesamane
sellelesamasele,P,0,seesamane
sellelsamasel,P,0,seesamane
selsamasel,P,0,seesamane
selleltsamaselt,P,0,seesamane
seltsamaselt,P,0,seesamane
sellekssamaseks,P,0,seesamane
sekssamaseks,P,0,seesamane
sellesamaseni,P,0,seesamane
sellesamasena,P,0,seesamane
sellesamaseta,P,0,seesamane
sellesamasega,P,0,seesamane
needsamased,P,0,seesamane
nendesamaste,P,0,seesamane
neidsamaseid,P,0,seesamane
nendessesamastesse,P,0,seesamane
neissesamaseisse,P,0,seesamane
nendessamastes,P,0,seesamane
neissamaseis,P,0,seesamane
nendestsamastest,P,0,seesamane
neistsamaseist,P,0,seesamane
nendelesamastele,P,0,seesamane
nendelsamastel,P,0,seesamane
neilsamaseil,P,0,seesamane
nendeltsamastelt,P,0,seesamane
neiltsamaseilt,P,0,seesamane
nendekssamasteks,P,0,seesamane
neikssamaseiks,P,0,seesamane
nendesamasteni,P,0,seesamane
nendesamastena,P,0,seesamane
nendesamasteta,P,0,seesamane
nendesamastega,P,0,seesamane
seesama,P,0,seesama
sellesama,P,0,seesama
sedasama,P,0,seesama
sellessesamasse,P,0,seesama
sessesamasse,P,0,seesama
sellessamas,P,0,seesama
sessamas,P,0,seesama
sellestsamast,P,0,seesama
sestsamast,P,0,seesama
sellelesamale,P,0,seesama
sellelsamal,P,0,seesama
selsamal,P,0,seesama
selleltsamalt,P,0,seesama
seltsamalt,P,0,seesama
sellekssamaks,P,0,seesama
sekssamaks,P,0,seesama
sellesamani,P,0,seesama
sellesamana,P,0,seesama
sellesamata,P,0,seesama
sellesamaga,P,0,seesama
needsamad,P,0,seesama
nendesamade,P,0,seesama
neidsamu,P,0,seesama
nendessesamadesse,P,0,seesama
neissesamusse,P,0,seesama
nendessamades,P,0,seesama
neissamus,P,0,seesama
nendestsamadest,P,0,seesama
neistsamust,P,0,seesama
nendelesamadele,P,0,seesama
nendelsamadel,P,0,seesama
neilsamul,P,0,seesama
nendeltsamadelt,P,0,seesama
neiltsamult,P,0,seesama
nendekssamadeks,P,0,seesama
neikssamuks,P,0,seesama
nendesamadeni,P,0,seesama
nendesamadena,P,0,seesama
nendesamadeta,P,0,seesama
nendesamadega,P,0,seesama
seesamune,P,0,seesamune
sellesamuse,P,0,seesamune
sedasamust,P,0,seesamune
sellessesamusesse,P,0,seesamune
sessesamusesse,P,0,seesamune
sellessamuses,P,0,seesamune
sessamuses,P,0,seesamune
sellestsamusest,P,0,seesamune
sestsamusest,P,0,seesamune
sellelesamusele,P,0,seesamune
sellelsamusel,P,0,seesamune
selsamusel,P,0,seesamune
selleltsamuselt,P,0,seesamune
seltsamuselt,P,0,seesamune
sellekssamuseks,P,0,seesamune
sekssamuseks,P,0,seesamune
sellesamuseni,P,0,seesamune
sellesamusena,P,0,seesamune
sellesamuseta,P,0,seesamune
sellesamusega,P,0,seesamune
needsamused,P,0,seesamune
nendesamuste,P,0,seesamune
neidsamuseid,P,0,seesamune
nendessesamustesse,P,0,seesamune
neissesamuseisse,P,0,seesamune
nendessamustes,P,0,seesamune
neissamuseis,P,0,seesamune
nendestsamustest,P,0,seesamune
neistsamuseist,P,0,seesamune
nendelesamustele,P,0,seesamune
nendelsamustel,P,0,seesamune
neilsamuseil,P,0,seesamune
nendeltsamustelt,P,0,seesamune
neiltsamuseilt,P,0,seesamune
nendekssamusteks,P,0,seesamune
neikssamuseiks,P,0,seesamune
nendesamusteni,P,0,seesamune
nendesamustena,P,0,seesamune
nendesamusteta,P,0,seesamune
nendesamustega,P,0,seesamune
see,P,0,see
selle,P,0,see
seda,P,0,see
sellesse,P,0,see
sesse,P,0,see
selles,P,0,see
ses,P,0,see
sellest,P,0,see
sest,P,0,see
sellele,P,0,see
sellel,P,0,see
sel,P,0,see
sellelt,P,0,see
selt,P,0,see
selleks,P,0,see
seks,P,0,see
selleni,P,0,see
sellena,P,0,see
selleta,P,0,see
sellega,P,0,see
need,P,0,see
nende,P,0,see
neid,P,0,see
nendesse,P,0,see
neisse,P,0,see
nendes,P,0,see
neis,P,0,see
nendest,P,0,see
neist,P,0,see
nendele,P,0,see
neile,P,0,see
nendel,P,0,see
neil,P,0,see
nendelt,P,0,see
neilt,P,0,see
nendeks,P,0,see
neiks,P,0,see
nendeni,P,0,see
nendena,P,0,see
nendeta,P,0,see
nendega,P,0,see
seesinane,P,0,seesinane
sellesinase,P,0,seesinane
sedasinast,P,0,seesinane
sellessesinasesse,P,0,seesinane
sessesinasesse,P,0,seesinane
sellessinases,P,0,seesinane
sessinases,P,0,seesinane
sellestsinasest,P,0,seesinane
sestsinasest,P,0,seesinane
sellelesinasele,P,0,seesinane
sellelsinasel,P,0,seesinane
selsinasel,P,0,seesinane
selleltsinaselt,P,0,seesinane
seltsinaselt,P,0,seesinane
sellekssinaseks,P,0,seesinane
sekssinaseks,P,0,seesinane
sellesinaseni,P,0,seesinane
sellesinasena,P,0,seesinane
sellesinaseta,P,0,seesinane
sellesinasega,P,0,seesinane
needsinased,P,0,seesinane
nendesinaste,P,0,seesinane
neidsinaseid,P,0,seesinane
nendessesinastesse,P,0,seesinane
neissesinaseisse,P,0,seesinane
nendessinastes,P,0,seesinane
neissinaseis,P,0,seesinane
nendestsinastest,P,0,seesinane
neistsinaseist,P,0,seesinane
nendelesinastele,P,0,seesinane
nendelsinastel,P,0,seesinane
neilsinaseil,P,0,seesinane
nendeltsinastelt,P,0,seesinane
neiltsinaseilt,P,0,seesinane
nendekssinasteks,P,0,seesinane
neikssinaseiks,P,0,seesinane
nendesinasteni,P,0,seesinane
nendesinastena,P,0,seesinane
nendesinasteta,P,0,seesinane
nendesinastega,P,0,seesinane
seesinane,P,0,seesinane
sellesinatse,P,0,seesinane
sedasinast,P,0,seesinane
sellessesinatsesse,P,0,seesinane
sessesinatsesse,P,0,seesinane
sellessinatses,P,0,seesinane
sessinatses,P,0,seesinane
sellestsinatsest,P,0,seesinane
sestsinatsest,P,0,seesinane
sellelesinatsele,P,0,seesinane
sellelsinatsel,P,0,seesinane
selsinatsel,P,0,seesinane
selleltsinatselt,P,0,seesinane
seltsinatselt,P,0,seesinane
sellekssinatseks,P,0,seesinane
sekssinatseks,P,0,seesinane
sellesinatseni,P,0,seesinane
sellesinatsena,P,0,seesinane
sellesinatseta,P,0,seesinane
sellesinatsega,P,0,seesinane
needsinatsed,P,0,seesinane
nendesinaste,P,0,seesinane
neidsinatseid,P,0,seesinane
nendessesinastesse,P,0,seesinane
neissesinaseisse,P,0,seesinane
nendessinastes,P,0,seesinane
neissinaseis,P,0,seesinane
nendestsinastest,P,0,seesinane
neistsinaseist,P,0,seesinane
nendelesinastele,P,0,seesinane
nendelsinastel,P,0,seesinane
neilsinaseil,P,0,seesinane
nendeltsinastelt,P,0,seesinane
neiltsinaseilt,P,0,seesinane
nendekssinasteks,P,0,seesinane
neikssinaseiks,P,0,seesinane
nendesinasteni,P,0,seesinane
nendesinastena,P,0,seesinane
nendesinasteta,P,0,seesinane
nendesinastega,P,0,seesinane
sidin-sädin,S,0,sidin-sädin
sidina-sädina,S,0,sidin-sädin
sidinat-sädinat,S,0,sidin-sädin
sidinasse-sädinasse,S,0,sidin-sädin
sidinas-sädinas,S,0,sidin-sädin
sidinast-sädinast,S,0,sidin-sädin
sidinale-sädinale,S,0,sidin-sädin
sidinal-sädinal,S,0,sidin-sädin
sidinalt-sädinalt,S,0,sidin-sädin
sidinaks-sädinaks,S,0,sidin-sädin
sidina-sädinani,S,0,sidin-sädin
sidina-sädinana,S,0,sidin-sädin
sidina-sädinata,S,0,sidin-sädin
sidina-sädinaga,S,0,sidin-sädin
sidinad-sädinad,S,0,sidin-sädin
sidinate-sädinate,S,0,sidin-sädin
sidinaid-sädinaid,S,0,sidin-sädin
sidinatesse-sädinatesse,S,0,sidin-sädin
sidinates-sädinates,S,0,sidin-sädin
sidinatest-sädinatest,S,0,sidin-sädin
sidinatele-sädinatele,S,0,sidin-sädin
sidinatel-sädinatel,S,0,sidin-sädin
sidinatest-sädinatelt,S,0,sidin-sädin
sidinateks-sädinateks,S,0,sidin-sädin
sidinate-sädinateni,S,0,sidin-sädin
sidinate-sädinatena,S,0,sidin-sädin
sidinate-sädinateta,S,0,sidin-sädin
sidinate-sädinatega,S,0,sidin-sädin
sigin-sagin,S,0,sigin-sagin
sigina-sagina,S,0,sigin-sagin
siginat-saginat,S,0,sigin-sagin
siginasse-saginasse,S,0,sigin-sagin
siginas-saginas,S,0,sigin-sagin
siginast-saginast,S,0,sigin-sagin
siginale-saginale,S,0,sigin-sagin
siginal-saginal,S,0,sigin-sagin
siginalt-saginalt,S,0,sigin-sagin
siginaks-saginaks,S,0,sigin-sagin
sigina-saginani,S,0,sigin-sagin
sigina-saginana,S,0,sigin-sagin
sigina-saginata,S,0,sigin-sagin
sigina-saginaga,S,0,sigin-sagin
siginad-saginad,S,0,sigin-sagin
siginate-saginate,S,0,sigin-sagin
siginaid-saginaid,S,0,sigin-sagin
siginatesse-saginatesse,S,0,sigin-sagin
siginates-saginates,S,0,sigin-sagin
siginatest-saginatest,S,0,sigin-sagin
siginatele-saginatele,S,0,sigin-sagin
siginatel-saginatel,S,0,sigin-sagin
siginatest-saginatelt,S,0,sigin-sagin
siginateks-saginateks,S,0,sigin-sagin
siginate-saginateni,S,0,sigin-sagin
siginate-saginatena,S,0,sigin-sagin
siginate-saginateta,S,0,sigin-sagin
siginate-saginatega,S,0,sigin-sagin
sihin-sahin,S,0,sihin-sahin
sihina-sahina,S,0,sihin-sahin
sihinat-sahinat,S,0,sihin-sahin
sihinasse-sahinasse,S,0,sihin-sahin
sihinas-sahinas,S,0,sihin-sahin
sihinast-sahinast,S,0,sihin-sahin
sihinale-sahinale,S,0,sihin-sahin
sihinal-sahinal,S,0,sihin-sahin
sihinalt-sahinalt,S,0,sihin-sahin
sihinaks-sahinaks,S,0,sihin-sahin
sihina-sahinani,S,0,sihin-sahin
sihina-sahinana,S,0,sihin-sahin
sihina-sahinata,S,0,sihin-sahin
sihina-sahinaga,S,0,sihin-sahin
sihinad-sahinad,S,0,sihin-sahin
sihinate-sahinate,S,0,sihin-sahin
sihinaid-sahinaid,S,0,sihin-sahin
sihinatesse-sahinatesse,S,0,sihin-sahin
sihinates-sahinates,S,0,sihin-sahin
sihinatest-sahinatest,S,0,sihin-sahin
sihinatele-sahinatele,S,0,sihin-sahin
sihinatel-sahinatel,S,0,sihin-sahin
sihinatest-sahinatelt,S,0,sihin-sahin
sihinateks-sahinateks,S,0,sihin-sahin
sihinate-sahinateni,S,0,sihin-sahin
sihinate-sahinatena,S,0,sihin-sahin
sihinate-sahinateta,S,0,sihin-sahin
sihinate-sahinatega,S,0,sihin-sahin
sina,P,0,sina
sa,P,0,sina
sinu,P,0,sina
su,P,0,sina
sind,P,0,sina
sinusse,P,0,sina
susse,P,0,sina
sinus,P,0,sina
sus,P,0,sina
sinust,P,0,sina
sust,P,0,sina
sinule,P,0,sina
sulle,P,0,sina
sinul,P,0,sina
sul,P,0,sina
sinult,P,0,sina
sult,P,0,sina
sinuks,P,0,sina
sinuni,P,0,sina
sinuna,P,0,sina
sinuta,P,0,sina
sinuga,P,0,sina
teie,P,0,sina
te,P,0,sina
teie,P,0,sina
te,P,0,sina
teid,P,0,sina
teisse,P,0,sina
teis,P,0,sina
teist,P,0,sina
teile,P,0,sina
teil,P,0,sina
teilt,P,0,sina
teieks,P,0,sina
teieni,P,0,sina
teiena,P,0,sina
teieta,P,0,sina
teiega,P,0,sina
sirin-sorin,S,0,sirin-sorin
sirina-sorina,S,0,sirin-sorin
sirinat-sorinat,S,0,sirin-sorin
sirinasse-sorinasse,S,0,sirin-sorin
sirinas-sorinas,S,0,sirin-sorin
sirinast-sorinast,S,0,sirin-sorin
sirinale-sorinale,S,0,sirin-sorin
sirinal-sorinal,S,0,sirin-sorin
sirinalt-sorinalt,S,0,sirin-sorin
sirinaks-sorinaks,S,0,sirin-sorin
sirina-sorinani,S,0,sirin-sorin
sirina-sorinana,S,0,sirin-sorin
sirina-sorinata,S,0,sirin-sorin
sirina-sorinaga,S,0,sirin-sorin
sirinad-sorinad,S,0,sirin-sorin
sirinate-sorinate,S,0,sirin-sorin
sirinaid-sorinaid,S,0,sirin-sorin
sirinatesse-sorinatesse,S,0,sirin-sorin
sirinates-sorinates,S,0,sirin-sorin
sirinatest-sorinatest,S,0,sirin-sorin
sirinatele-sorinatele,S,0,sirin-sorin
sirinatel-sorinatel,S,0,sirin-sorin
sirinatest-sorinatelt,S,0,sirin-sorin
sirinateks-sorinateks,S,0,sirin-sorin
sirinate-sorinateni,S,0,sirin-sorin
sirinate-sorinatena,S,0,sirin-sorin
sirinate-sorinateta,S,0,sirin-sorin
sirinate-sorinatega,S,0,sirin-sorin
sisin-susin,S,0,sisin-susin
sisina-susina,S,0,sisin-susin
sisinat-susinat,S,0,sisin-susin
sisinasse-susinasse,S,0,sisin-susin
sisinas-susinas,S,0,sisin-susin
sisinast-susinast,S,0,sisin-susin
sisinale-susinale,S,0,sisin-susin
sisinal-susinal,S,0,sisin-susin
sisinalt-susinalt,S,0,sisin-susin
sisinaks-susinaks,S,0,sisin-susin
sisina-susinani,S,0,sisin-susin
sisina-susinana,S,0,sisin-susin
sisina-susinata,S,0,sisin-susin
sisina-susinaga,S,0,sisin-susin
sisinad-susinad,S,0,sisin-susin
sisinate-susinate,S,0,sisin-susin
sisinaid-susinaid,S,0,sisin-susin
sisinatesse-susinatesse,S,0,sisin-susin
sisinates-susinates,S,0,sisin-susin
sisinatest-susinatest,S,0,sisin-susin
sisinatele-susinatele,S,0,sisin-susin
sisinatel-susinatel,S,0,sisin-susin
sisinatest-susinatelt,S,0,sisin-susin
sisinateks-susinateks,S,0,sisin-susin
sisinate-susinateni,S,0,sisin-susin
sisinate-susinatena,S,0,sisin-susin
sisinate-susinateta,S,0,sisin-susin
sisinate-susinatega,S,0,sisin-susin
teinepool,S,0,teinepool
teisepoole,S,0,teinepool
teistpoolt,S,0,teinepool
teisessepoolesse,S,0,teinepool
teisespooles,S,0,teinepool
teisestpoolest,S,0,teinepool
teiselepoolele,S,0,teinepool
teiselpoolel,S,0,teinepool
teiseltpoolelt,S,0,teinepool
teisekspooleks,S,0,teinepool
teisepooleni,S,0,teinepool
teisepoolena,S,0,teinepool
teisepooleta,S,0,teinepool
teisepoolega,S,0,teinepool
teisepoolde,S,0,teinepool
teisedpooled,S,0,teinepool
teistepoolte,S,0,teinepool
teisipooli,S,0,teinepool
teistessepooltesse,S,0,teinepool
teistespooltes,S,0,teinepool
teistestpooltest,S,0,teinepool
teistelepooltele,S,0,teinepool
teistelpooltel,S,0,teinepool
teisteltpooltelt,S,0,teinepool
teistekspoolteks,S,0,teinepool
teistepoolteni,S,0,teinepool
teistepooltena,S,0,teinepool
teistepoolteta,S,0,teinepool
teistepooltega,S,0,teinepool
tema,P,0,tema
ta,P,0,tema
tema,P,0,tema
ta,P,0,tema
teda,P,0,tema
temasse,P,0,tema
tasse,P,0,tema
temas,P,0,tema
tas,P,0,tema
temast,P,0,tema
tast,P,0,tema
temale,P,0,tema
talle,P,0,tema
temal,P,0,tema
tal,P,0,tema
temalt,P,0,tema
talt,P,0,tema
temaks,P,0,tema
temani,P,0,tema
temana,P,0,tema
temata,P,0,tema
temaga,P,0,tema
nemad,P,0,tema
nad,P,0,tema
nende,P,0,tema
neid,P,0,tema
nendesse,P,0,tema
neisse,P,0,tema
nendes,P,0,tema
neis,P,0,tema
nendest,P,0,tema
neist,P,0,tema
nendele,P,0,tema
neile,P,0,tema
nendel,P,0,tema
neil,P,0,tema
nendelt,P,0,tema
neilt,P,0,tema
nendeks,P,0,tema
neiks,P,0,tema
nendeni,P,0,tema
nendena,P,0,tema
nendeta,P,0,tema
nendega,P,0,tema
toosama,P,0,toosama
tollesama,P,0,toosama
todasama,P,0,toosama
tollessesamasse,P,0,toosama
tollessamas,P,0,toosama
tollestsamast,P,0,toosama
tollelesamale,P,0,toosama
tollelsamal,P,0,toosama
tolsamal,P,0,toosama
tolleltsamalt,P,0,toosama
tollekssamaks,P,0,toosama
tollesamani,P,0,toosama
tollesamana,P,0,toosama
tollesamata,P,0,toosama
tollesamaga,P,0,toosama
noodsamad,P,0,toosama
nondesamade,P,0,toosama
noidsamu,P,0,toosama
nondessesamadesse,P,0,toosama
noissesamusse,P,0,toosama
nondessamades,P,0,toosama
noissamus,P,0,toosama
nondestsamadest,P,0,toosama
noistsamust,P,0,toosama
nondelesamadele,P,0,toosama
nondelsamadel,P,0,toosama
noilsamul,P,0,toosama
nondeltsamadelt,P,0,toosama
noiltsamult,P,0,toosama
nondekssamadeks,P,0,toosama
noikssamuks,P,0,toosama
nondesamadeni,P,0,toosama
nondesamadena,P,0,toosama
nondesamadeta,P,0,toosama
nondesamadega,P,0,toosama
too,P,0,too
tolle,P,0,too
toda,P,0,too
tollesse,P,0,too
tosse,P,0,too
tolles,P,0,too
tos,P,0,too
tollest,P,0,too
tost,P,0,too
tollele,P,0,too
tollel,P,0,too
tol,P,0,too
tollelt,P,0,too
tolt,P,0,too
tolleks,P,0,too
tolleni,P,0,too
tollena,P,0,too
tolleta,P,0,too
tollega,P,0,too
nood,P,0,too
nonde,P,0,too
noid,P,0,too
nondesse,P,0,too
noisse,P,0,too
nondes,P,0,too
nois,P,0,too
nondest,P,0,too
noist,P,0,too
nondele,P,0,too
noile,P,0,too
nondel,P,0,too
noil,P,0,too
nondelt,P,0,too
noilt,P,0,too
nondeks,P,0,too
nondeni,P,0,too
nondena,P,0,too
nondeta,P,0,too
nondega,P,0,too
tühi-tähi,S,0,tühi-tähi
tühja-tähja,S,0,tühi-tähi
tühja-tähja,S,0,tühi-tähi
tühjasse-tähjasse,S,0,tühi-tähi
tühjas-tähjas,S,0,tühi-tähi
tühjast-tähjast,S,0,tühi-tähi
tühjale-tähjale,S,0,tühi-tähi
tühjal-tähjal,S,0,tühi-tähi
tühjalt-tähjalt,S,0,tühi-tähi
tühjaks-tähjaks,S,0,tühi-tähi
tühja-tähjani,S,0,tühi-tähi
tühja-tähjana,S,0,tühi-tähi
tühja-tähjata,S,0,tühi-tähi
tühja-tähjaga,S,0,tühi-tähi
tühja-tähja,S,0,tühi-tähi
viimnepäev,S,0,viimnepäev
viimsepäeva,S,0,viimnepäev
viimsetpäeva,S,0,viimnepäev
viimsessepäevasse,S,0,viimnepäev
viimsespäevas,S,0,viimnepäev
viimsestpäevast,S,0,viimnepäev
viimselepäevale,S,0,viimnepäev
viimselpäeval,S,0,viimnepäev
viimseltpäevalt,S,0,viimnepäev
viimsekspäevaks,S,0,viimnepäev
viimsepäevani,S,0,viimnepäev
viimsepäevana,S,0,viimnepäev
viimsepäevata,S,0,viimnepäev
viimsepäevaga,S,0,viimnepäev
üksainuke,A,0,üksainuke
üheainukese,A,0,üksainuke
ühtainukest,A,0,üksainuke
ühteainukest,A,0,üksainuke
ühteainukesesse,A,0,üksainuke
ühteainukesse,A,0,üksainuke
ühesainukeses,A,0,üksainuke
ühestainukesest,A,0,üksainuke
üheleainukesele,A,0,üksainuke
ühelainukesel,A,0,üksainuke
üheltainukeselt,A,0,üksainuke
üheksainukeseks,A,0,üksainuke
üheainukeseni,A,0,üksainuke
üheainukesena,A,0,üksainuke
üheainukeseta,A,0,üksainuke
üheainukesega,A,0,üksainuke
üksainus,A,0,üksainus
üheainsa,A,0,üksainus
ühtainsat,A,0,üksainus
ühtainust,A,0,üksainus
ühesseainsasse,A,0,üksainus
ühesainsas,A,0,üksainus
ühestainsast,A,0,üksainus
üheleainsale,A,0,üksainus
ühelainsal,A,0,üksainus
üheltainsalt,A,0,üksainus
üheksainsaks,A,0,üksainus
üheainsani,A,0,üksainus
üheainsana,A,0,üksainus
üheainsata,A,0,üksainus
üheainsaga,A,0,üksainus
